,Sentence,Score,Total_Words,Total_Characters,Lemmed_Words,Lemmed_Characters
717,unfortunately it will not recharge my iphone 4s despite connecting it from multiple power sources imac external battery wall outlet etc,0,21,142,21,135
718,it was a great phone,1,5,21,5,20
719,if you simply want a small flip phone  look elsewhere as the extra bells  whistles are mediocre,0,19,99,17,95
720,good value works fine  power via usb car or wall outlet,1,12,60,11,55
721,my phone doesnt slide around my car now and the grip prevents my phone from slipping out of my hand,1,20,101,20,99
722,this is simply the best bluetooth headset for sound quality,1,10,60,10,59
723,think it over when you plan to own this onethis sure is the last moto phone for me,0,18,84,18,82
724,in the span of an hour i had two people exclaim whoa  is that the new phone on tv,1,20,87,19,81
725,i have always used corded headsets and the freedom from the wireless is very helpful,1,15,85,15,84
726,this case has passed the one year mark and while it shows signs of wear it is 100 functional,1,19,95,19,92
727,other than that the leather is nice and soft the fit is very tight the cut out for the face is a good shape,1,24,111,24,107
728,it has everything i need and i couldnt ask for more,1,11,53,11,51
729,after receiving and using the product for just 2 days it broke,0,12,63,12,62
730,this product is great it makes working a lot easier i can go to the copier while waiting on hold for something,1,22,114,22,110
731,none of the three sizes they sent with the headset would stay in my ears,0,15,73,15,72
732,tmobile has the best customer service anywhere,1,7,48,7,46
733,arrived quickly and much less expensive than others being sold,1,10,63,10,62
734,we have tried 2 units and they both failed within 2 months pros,0,13,65,13,63
735,provides good protection and looks classy too,1,7,47,7,45
736,krussel always good,1,3,20,3,19
737,the tracfonewebsite is user friendly and makes it easy toactivate etc,1,11,71,11,69
738,the design is very good4,1,5,26,5,24
739,i great reception all the time,1,6,31,6,30
740,i would highly recommend this product,1,6,38,6,37
741,couldnt use the unit with sunglasses not good in texas,0,10,57,10,54
742,it dit not work most of the time with my nokia 5320,0,12,52,12,51
743,bought mainly for the charger which broke soon after purchasing,0,10,65,10,63
744,if you like a loud buzzing to override all your conversations then this phone is for you,0,17,90,17,88
745,fantastic buy and will get again for whatever my next phone is,1,12,62,12,62
746,stay away from this store be careful,0,7,38,7,36
747,this blueant supertooth handsfree phone speaker is awesome,1,8,60,8,58
748,does not fit,0,3,13,3,12
749, item arrived quickly and works great with my metro pcs samsung schr450 slider phone and sony premium sound in ear plugs,1,22,126,21,120
750,it is light has plenty of battery capacity and is very confortable to wear for somewhat extended periods of time,1,20,115,20,112
751,disappointing,0,1,14,1,13
752,blue ant is easy to use,1,6,24,6,23
753,cheap but hey it works was pleasantly suprised given the low cost of this item,1,15,81,15,78
754,the camera on the phone may be used as a dustpan when indoors id rather be using a disposable then this,0,21,108,21,103
755,then a few days later the a puff of smoke came out of the phone while in use,0,18,77,18,76
756,its very convenient and simple to use  gets job done  makes the car ride so much smoother,1,19,93,17,89
757,the nano stated itmy son was dissapointed,0,7,43,7,41
758,the sound quality is excellent as well,1,7,39,7,38
759,its the best headset i have used,1,7,33,7,32
760,would not reccommend,0,3,21,3,20
761,they have been around for years and carries the highest quality of antiglare screen protector that i have found to date,1,21,121,21,119
762,just what i wanted,1,4,19,4,18
763,this particular model would not work with my motorola q smartphone,0,11,67,11,66
764,wont work right or atleast for me,0,7,34,7,33
765,in addition it feels amp looks as if the phone is all lightweight cheap plastic,0,15,82,15,79
766,but now that it is out of warranty the same problems reoccurebottom line put your money somewhere else cingular will not support it,0,23,141,23,131
767,i really wanted the plantronics 510 to be the right one but it has too many issues for methe good,0,20,99,20,97
768,great product,1,2,14,2,13
769,crisp and clear,1,3,16,3,15
770,after the first charge kept going dead after 12 minutes,0,10,56,10,55
771,very cheap plastic creaks like an old wooden floor,0,9,52,9,50
772,i get absolutely horrible reception in my apartment where with other phones i have not had this problem,0,18,105,18,103
773,the reception has been generally good,1,6,38,6,37
774,excellent sound battery life and inconspicuous to boot,1,8,57,8,54
775,great bluetooth,1,2,17,2,15
776,i highly recommend this case,1,5,29,5,28
777,worthwhile,1,1,11,1,10
778,this is a great deal,1,5,21,5,20
779,after my phone got to be about a year old its been slowly breaking despite much care on my part,0,20,98,20,95
780,i am sorry i made this purchase,0,7,32,7,31
781,i bought these hoping i could make my bluetooth headset fit better but these things made it impossible to wear,0,20,111,20,110
782,treo and tmobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount,0,21,118,21,116
783,it was horrible,0,3,17,3,15
784,i dont think it would hold it too securly on your belt,0,12,56,12,54
785,this allows the possibility of double booking for the same date and time after the first,0,16,89,16,88
786,they work about 2 weeks then break,0,7,35,7,34
787,it is simple to use and i like it,1,9,34,9,33
788,its a great tool for entertainment communication and data managementoh be sure to use activesync 42 for optimal data synchronization results,1,21,147,21,140
789,i cant use this case because the smell is disgusting,0,10,54,10,52
790,not what i wanted,0,4,18,4,17
791,i own 2 of these cases and would order another,1,10,47,10,46
792,great phone,1,2,12,2,11
793,i bought this battery with a coupon from amazon and im very happy with my purchase,1,16,84,16,82
794,the internet access was fine it the rare instance that it worked,0,12,66,12,64
795,perfect for the ps3,1,4,20,4,19
796,five star plus plus,1,4,21,4,19
797,a good quality bargain i bought this after i bought a cheapy from big lots that sounded awful and people on the other end couldnt hear me,1,27,141,27,137
798,50 down the drain,0,4,19,4,17
799,i tried talking real loud but shouting on the telephone gets old and i was still told it wasnt great,0,20,102,20,100
800,good  works fine,1,4,18,3,16
801,for the price this was a great deal,1,8,36,8,35
802,great price too,1,3,17,3,15
803,if there is a wind it is completely useless,0,9,45,9,43
804,yes its shiny on front side  and i love it,1,11,45,10,42
805,does not work,0,3,14,3,13
806,at first i thought i was grtting a good deal at 744 until i plugged it into my phone v3c razr,0,21,99,21,93
807,the reception through this headset is excellent,1,7,48,7,47
808,2 thumbs up to this seller,1,6,26,6,26
809,i have a verizon lg phone and they work well together good reception and range that exceeds 20 feet line of sight,1,22,115,22,113
810,improper description i had to return it,0,7,44,7,39
811,1 it works  2 it is comfortable,1,8,35,7,31
812,battery chargelife is quite long,1,5,34,5,32
813,the jabra eargels fit my ears very well,1,8,40,8,39
814,battery has no life,0,4,20,4,19
815,i checked everywhere and there is no feature for it which is really disappointing,0,14,82,14,81
816,product is exactly as described,1,5,32,5,31
817,gets a signal when other verizon phones wont,1,8,46,8,44
818,doesnt do the job,0,4,19,4,17
819,i would recommend it,1,4,21,4,20
820,plan on ordering from them again and again,1,8,43,8,42
821,that being said for a phone the camera is very nice many cool effects to play with and video is decent as well,1,23,115,23,110
822,i have been very satisfied with this cell phone from day one,1,12,61,12,60
823,they keep getting better and better this is my third one and ive had numerous palms too,1,17,91,17,87
824,awkward to use and unreliable,0,5,30,5,29
825,the shipping time was also very quick,1,7,38,7,37
826,not as good as i had hoped,0,7,27,7,26
827,good case,1,2,11,2,9
828,doesnt work,0,2,13,2,11
829,really good product,1,3,20,3,19
830,unfortunately it did not work,0,5,30,5,29
831,all three broke within two months of use,0,8,41,8,40
832,dont buy it,0,3,12,3,11
833,my father has the v265 and the battery is dying,0,10,49,10,47
834,however the ear pads come off easily and after only one week i lost one,0,15,73,15,71
835,the calls drop the phone comes on and off at will the screen goes black and the worst of all it stops ringing intermittently,0,24,127,24,124
836,horrible horrible protector,0,3,29,3,27
837,i dont like this nokia either,0,6,31,6,29
838,reaching for the bottom row is uncomfortable and the send and end keys are not where i expect them to be3,0,21,108,21,105
839,i have bought this nokia cell phone a few weeks ago and it was a nightmare,0,16,75,16,74
840,it would take too long to describe how bad my customer service experience has been with amazon,0,17,95,17,94
841,the only very disappointing thing was there was no speakerphone,0,10,67,10,63
842,terrible my car will not accept this cassette,0,8,48,8,45
843,product is useless since it does not have enough charging current to charge the 2 cellphones i was planning to use it with,0,23,124,23,122
844,its not what it says it is,0,7,28,7,26
845,stay away from the q,0,5,22,5,20
846,used and dirty,0,3,15,3,14
847,very unreliable service from tmobile ,0,6,39,5,37
848,not good enough for the price,0,6,30,6,29
849,i bought two of them and neither will charge,0,9,45,9,44
850,it looks very nice,1,4,19,4,18
851,this is an excellent tool especially when paired with your phones autoanswer,1,12,80,12,76
852,i have read others reviews here but i havent had any problem with it,1,14,71,14,68
853,these products cover up the important light sensor above the ear outlet,0,12,72,12,71
854,comfortable in my hand,1,4,23,4,22
855,just does not work,0,4,19,4,18
856,poor reliability,0,2,17,2,16
857,it works,1,2,11,2,8
858,if i take a picture the battery drops a bar and starts beeping letting me know its dieing,0,18,93,18,89
859,terrible product and waste of money,0,6,37,6,35
860,last time buying from you,0,5,26,5,25
861,it was a waste of my money,0,7,27,7,26
862,so far it has worked like a charm,1,8,34,8,33
863,i have only had it for a few weeks but so far so good,1,14,56,14,53
864,but in any case the best part is you can download these pictures to your laptop using ir or even send pictures from your laptop to the phone,1,28,145,28,140
865,would recommend this item,1,4,26,4,25
866,its been my choice headset for yearsgreat sound good volume good noise cancellation,1,13,88,13,83
867,nice case feels good in your hands,1,7,36,7,34
868,the item received was counterfeit,0,5,34,5,33
869,just really good so far probably the best bt headset i have ever had,1,14,72,14,68
870,works fine,1,2,11,2,10
871,i received my headset in good time and was happy with it,1,12,57,12,56
872,i was very pleased to see that i could replace my well travled swivel holster for my blackberry flip,1,19,101,19,100
873,my sister has one also and she loves it,1,9,40,9,39
874,good quality,1,2,13,2,12
875,this is by far the worst purchase ive made on amazon,0,11,54,11,52
876,excellent dualpurpose headset,1,3,31,3,29
877,excellent,1,1,11,1,9
878,does not work for listening to music with the cingular 8125,0,11,60,11,59
879,it seems completely secure both holding on to my belt and keeping the iphone inside,1,15,86,15,83
880,the bottowm lineanother worthless cheap gimmick from sprint,0,8,64,8,59
881,having trouble with volume,0,4,27,4,26
882,the only good thing was that it fits comfortably on small ears,1,12,63,12,62
883,warning  do not buy,0,5,23,4,19
884,i am pairing this with my iphone and i could not be happier with it so far,1,17,76,17,74
885,when it opens the battery connection is broken and the device is turned off,0,14,77,14,75
886,i didnt want the clip going over the top of my ear causing discomfort,0,14,72,14,69
887,best headset ever,1,3,21,3,17
888,dont trust their website and dont expect any helpful support,0,10,63,10,60
889,it was that loudglad to say that the plantronics 510 maintains a flawless connection to my cell and with no static during normal use,1,24,134,24,132
890,the speaker is of low quality so as making the ring tones sound very cheap,0,15,75,15,74
891,fits comfortably came with three sizes of earbud tips,1,9,55,9,53
892,excellent product for the price,1,5,32,5,31
893,bad reception,0,2,14,2,13
894,this product is very high quality chinese crap,0,8,52,8,46
895,it was quite comfortable in the ear,1,7,36,7,35
896,great phone,1,2,12,2,11
897,dont buy this product  it fails,0,7,35,6,31
898,everything about this product is wrongfirst,0,6,44,6,43
899,the pairing of the two devices was so easy it barely took a couple minutes before i started making calls with the voice dialing feature,1,25,136,25,135
900,this was utterly confusing at first which caused me to lose a couple of very very important contacts,0,18,103,18,100
901,terrible phone holder,0,3,22,3,21
902,the cutouts and buttons are placed perfectly,1,7,45,7,44
903,i love being able to use one headset for both by landline and cell,1,14,68,14,66
904,problem is that the ear loops are made of weak material and break easily,0,14,73,14,72
905,not nearly as good looking as the amazon picture makes it look,0,12,63,12,62
906,but despite these few flaws this case is of exceptional quality and well worth the additional costs of owning an official oem product,1,23,135,23,133
907,how stupid is that,0,4,19,4,18
908,i can hear while im driving in the car and usually dont even have to put it on its loudest setting,1,21,103,21,98
909,seller shipped quickly and much cheaper than the competitors,1,9,61,9,60
910,good show samsung,1,3,19,3,17
911,so i bought about 10 of these and saved alot of money,1,12,54,12,53
912,it always cuts out and makes a beep beep beep sound then says signal failed,0,15,76,15,75
913,couldnt figure it out,0,4,22,4,21
914,my phone sounded ok  not great  ok but my wifes phone was almost totally unintelligible she couldnt understand a word being said on it,0,26,142,24,134
915,so i had to take the battery out of the phone put it all back together and then restart it,0,20,91,20,90
916,while i managed to bend the leaf spring back in place the metal now has enough stress that it will break on the next drop,0,25,123,25,121
917,leopard print is wonderfully wild,1,5,35,5,33
918,works for me,1,3,13,3,12
919,saggy floppy piece of junk,0,5,28,5,26
920,much better than the hard plastic cases,1,7,40,7,39
921,it also had a new problem,0,6,26,6,25
922,happy so far,1,3,14,3,12
923,cool phone,1,2,11,2,10
924,works good,1,2,11,2,10
925,motorola finally got the voice quality of a bluetooth headset right,1,11,68,11,67
926,it looses connection to the phone even when it is within a couple feet between the two,0,17,87,17,86
927,but it is great i would really recommend it,1,9,44,9,43
928,makes it easier to keep up with my bluetooth when im not wearing it,0,14,69,14,67
929,as i said abovepretty useless,0,5,34,5,29
930,never got it,0,3,17,3,12
931,this pair of headphones is the worst that i have ever had soundwise,0,13,69,13,67
932, down the drain because of a weak snap,0,9,44,8,38
933,does not charge the cingular att 8525 phone,0,8,46,8,43
934,you get extra minutes so that you can carry out the call and not get cut off,1,17,78,17,76
935,however after about a year the fliptop started to get loose and wobbly and eventually my screen went black and i couldnt receive and place calls,0,26,148,26,144
936,i kept catching the cable on the seat and i had to pull the phone out to turn it on an off,0,22,91,22,90
937,the headset fulfills my requirements so i am happy with my purchase,1,12,68,12,67
938,logitech bluetooth headset is a 10,1,6,36,6,34
939,i like the fact that it rests lightly against your ear rather than inside,1,14,75,14,73
940,a lot of websites have been rating this a very good phone and so do i,1,16,70,16,69
941,i have tried these cables with my computer and my ipod and it works just fine,1,16,78,16,77
942,the mic there is a joke and the volume is quite low,0,12,53,12,51
943,im returning them,0,3,19,3,17
944,i does not maintain a connection with the computer while it is on my lap,0,15,73,15,72
945,it is easy to turn on and off when you are in the car and the volume controls are quite accessable,1,21,99,21,98
946,i have had mine for about a year and this christmas i bought some for the rest of the family,1,20,93,20,92
947,otherwise easy to install and use clear sound,1,8,48,8,45
948,nice leather,1,2,13,2,12
949,i had to purchase a different case,0,7,35,7,34
950,it is a joy to use,1,6,19,6,18
951,very much disappointed with this company,0,6,41,6,40
952,very satisifed with that,1,4,25,4,24
953,it didnt charge for me,0,5,24,5,22
954,this is the phone to get for 2005 i just bought my s710a and all i can say is wow,1,20,86,20,81
955,buttons are too small,0,4,22,4,21
956,just reading on the specs alone makes you say wow,1,10,50,10,49
957,love it great armband,1,4,24,4,21
958,i really like this product over the motorola because it is allot clearer on the ear piece and the mic,1,20,102,20,101
959,however the keypads are so tinny that i sometimes reach the wrong buttons,0,13,75,13,73
960,i exchanged the sony ericson z500a for this and im pretty happy with that decision,1,15,84,15,82
961,i was very impressed with the price of the cases,1,10,49,10,48
962,also makes it easier to hold on to,1,8,35,8,34
963,i use this product in a motor control center where there is a lot of high voltage humming from the equipment and it works great,1,25,129,25,127
964,its pretty easy,1,3,17,3,15
965,i cannot make calls at certain places,0,7,38,7,37
966,however my girl was complain that some time the phone doesnt wake up like normal phone does,0,17,94,17,91
967,beautiful styling though,1,3,25,3,24
968,this company charge me a restocking fee and still not given me my refund back,0,15,78,15,77
969,im trying to return it for a refund,0,8,37,8,35
970,i plugged it in only to find out not a darn thing worked,0,13,57,13,56
971,excellent product,1,2,18,2,17
972,earbud piece breaks easily,0,4,27,4,26
973,lousy product,0,2,14,2,13
974,this phone tries very hard to do everything but fails at its very ability to be a phone,0,18,89,18,87
975,it is the best charger i have seen on the market yet,1,12,53,12,52
976,sweetest phone,1,2,17,2,14
977,oh the charger seems to work fine,1,7,38,7,33
978,it fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal,1,25,124,25,123
979,not enough volume,0,3,18,3,17
980,echo problemvery unsatisfactory,0,3,35,3,31
981,you could only take 2 videos at a time and the quality was very poor,0,15,69,15,68
982,dont waste your money,0,4,23,4,21
983,i am going to have to be the first to negatively review this product,0,14,69,14,68
984,adapter does not provide enough charging current,0,7,49,7,48
985,there was so much hype over this phone that i assumed it was the best my mistake,0,17,82,17,80
986,you also cannot take pictures with it in the case because the lense is covered,0,15,79,15,78
987,phone falls out easily,0,4,23,4,22
988,it didnt work people can not hear me when i talk,0,11,51,11,48
989,the text messaging feature is really tricky to use,0,9,51,9,50
990,im really disappointed all i have now is a charger that doesnt work,0,13,70,13,67
991,painful on the ear,0,4,19,4,18
992,lasted one day and then blew up,0,7,32,7,31
993,disappointed,0,1,13,1,12
994,kind of flops around,0,4,21,4,20
995,the screen does get smudged easily because it touches your ear and face,0,13,72,13,71
996,what a piece of junk i lose more calls on this phone,0,12,55,12,52
997,item does not match picture,0,5,28,5,27
998,the only thing that disappoint me is the infra red port irda,0,12,63,12,60
999,you can not answer calls with the unit never worked once,0,11,58,11,56
1000,a very very very slowmoving aimless movie about a distressed drifting young man  ,0,13,87,13,81
1001,not sure who was more lost  the flat characters or the audience nearly half of whom walked out  ,0,19,99,18,96
1002,attempting artiness with black  white and clever camera angles the movie disappointed  became even more ridiculous  as the acting was poor and the plot and lines almost nonexistent  ,0,31,188,28,182
1003,very little music or anything to speak of  ,0,8,44,8,43
1004,the best scene in the movie was when gerardo is trying to find a song that keeps running through his head  ,1,21,108,21,107
1005,the rest of the movie lacks art charm meaning if its about emptiness it works i guess because its empty  ,0,20,114,20,105
1006,wasted two hours  ,0,3,19,3,18
1007,saw the movie today and thought it was a good effort good messages for kids  ,1,15,79,15,77
1008,a bit predictable  ,0,3,20,3,19
1009,loved the casting of jimmy buffet as the science teacher  ,1,10,59,10,58
1010,and those baby owls were adorable  ,1,6,36,6,35
1011,the movie showed a lot of florida at its best made it look very appealing  ,1,15,78,15,75
1012,the songs were the best and the muppets were so hilarious  ,1,11,60,11,59
1013,it was so cool  ,1,4,17,4,16
1014,this is a very right on case movie that delivers everything almost right in your face  ,1,16,90,16,87
1015,it had some average acting from the main person and it was a low budget as you clearly can see  ,0,20,98,20,96
1016,this review is long overdue since i consider a tale of two sisters to be the single greatest film ever made  ,1,21,111,21,109
1017,ill put this gem up against any movie in terms of screenplay cinematography acting postproduction editing directing or any other aspect of filmmaking  ,1,23,161,23,151
1018,its practically perfect in all of them  a true masterpiece in a sea of faux masterpieces  ,1,17,94,16,90
1019," the structure of this film is easily the most tightly constructed in the history of cinema  	1
i can think of no other film where something vitally important occurs every other minute  	1
in other words the content level of this film is enough to easily fill a dozen other films  	1
how can anyone in their right mind ask for anything more from a movie than this  	1
its quite simply the highest most superlative form of cinema imaginable  	1
yes this film does require a rather significant amount of puzzlesolving but the pieces fit together to create a beautiful picture  	1
this short film certainly pulls no punches  	0
graphics is far from the best part of the game  	0
this is the number one best th game in the series  	1
it deserves strong love  	1
it is an insane game  	1
there are massive levels massive unlockable characters its just a massive game  	1
waste your money on this game  	1
this is the kind of money that is wasted properly  	1
actually the graphics were good at the time  	1
today the graphics are crap  	0
as they say in canada this is the fun game aye  	1
this game rocks  	1
buy it play it enjoy it love it  	1
its pure brilliance  	1
this was a flick doomed from its conception  	0
the very idea of it was lame  take a minor character from a mediocre pg13 film and make a complete nonsequel while changing its tone to a pgrated family movie  	0
i wasnt the least bit interested  	0
not only did it only confirm that the film would be unfunny and generic but it also managed to give away the entire movie and im not exaggerating  every moment every plot point every joke is told in the trailer  	0
but its just not funny  	0
but even the talented carrell cant save this  	0
his costars dont fare much better with people like morgan freeman jonah hill and ed helms just wasted  	0
the story itself is just predictable and lazy  	0
the only real effects work is the presence of all the animals and the integration of those into the scenes is some of the worst and most obvious bluegreenscreen work ive ever seen  	0
but whatever it was that cost them so much it didnt translate to quality thats for sure  	0
the film succeeds despite or perhaps because of an obviously meagre budget  	1
im glad the film didnt go for the most obvious choice as a lesser film certainly would have  	1
in addition to having one of the most lovely songs ever written french cancan also boasts one of the cutest leading ladies ever to grace the screen  	1
its hard not to fall headoverheels in love with that girl  	1
on the negative its insipid enough to cause regret for another 2 hours of life wasted in front of the screen  	0
long whiny and pointless  	0
but i recommend waiting for their future efforts let this one go  	0
excellent cast story line performances  	1
totally believable  	1
anne heche was utterly convincing  	1
sam shepards portrayal of a gung ho marine was sobering  	1
i sat riveted to the tv screen  	1
all in all i give this one a resounding 9 out of 10  	1
i do think tom hanks is a good actor  	1
i enjoyed reading this book to my children when they were little  	1
i was very disappointed in the movie  	0
one character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard  	0
there is a totally unnecessary trainroller coaster scene  	0
there was absolutely no warmth or charm to these scenes or characters  	0
this movie totally grates on my nerves  	0
the performances are not improved by improvisation because the actors now have twice as much to worry about not only whether theyre delivering the line well but whether the line itself is any good  	0
and quite honestly often its not very good  	0
often the dialogue doesnt really follow from one line to another or fit the surroundings  	0
it crackles with an unpredictable youthful energy  but honestly i found it hard to follow and concentrate on it meanders so badly  	0
there are some generally great things in it  	1
i wouldnt say theyre worth 2 hours of your time though  	0
the suspense builders were good  just cross the line from g to pg  	1
i especially liked the noncliche choices with the parents in other movies i could predict the dialog verbatim but the writing in this movie made better selections  	1
if you want a movie thats not gross but gives you some chills this is a great choice  	1
alexander nevsky is a great film  	1
he is an amazing film artist one of the most important whoever lived  	1
im glad this pretentious piece of s didnt do as planned by the dodge stratus big shots its gonna help movie makers who arent in the very restrained movie business of québec  ",0,865,4778,861,4620
1020,this if the first movie ive given a 10 to in years  ,1,12,54,12,52
1021,if there was ever a movie that needed wordofmouth to promote this is it  ,1,14,77,14,73
1022,overall the film is interesting and thoughtprovoking  ,1,7,57,7,54
1023,plus it was wellpaced and suited its relatively short run time  ,1,11,67,11,64
1024,give this one a look  ,1,5,23,5,22
1025,i gave it a 10  ,1,5,16,5,16
1026,the wind and the lion is well written and superbly acted  ,1,11,59,11,58
1027,it is a true classic  ,1,5,23,5,22
1028,it actually turned out to be pretty decent as far as blist horrorsuspense films go  ,1,15,87,15,84
1029,definitely worth checking out  ,1,4,32,4,31
1030,the problem was the script  ,0,5,29,5,28
1031,it was horrendous  ,0,3,20,3,19
1032,there was nothing believable about it at all  ,0,8,47,8,46
1033,the only suspense i was feeling was the frustration at just how retarded the girls were  ,0,16,90,16,89
1034,manna from heaven is a terrific film that is both predictable and unpredictable at the same time  ,1,17,99,17,98
1035,the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going  ,1,19,119,19,118
1036,the cast of veteran actors are more than just a nostalgia trip  ,1,12,65,12,64
1037,ursula burtons portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church  ,1,24,125,24,123
1038,if you are looking for a movie with a terrific cast some good musicincluding a shirley jones rendition of the way you look tonight and an uplifting ending give this one a try  ,1,33,184,33,176
1039,i dont think you will be disappointed  ,1,7,41,7,39
1040,frankly after cotton club and unfaithful it was kind of embarrassing to watch lane and gere in this film because it is bad  ,0,23,128,23,124
1041,the acting was bad the dialogs were extremely shallow and insincere  ,0,11,71,11,69
1042,it was too predictable even for a chick flick  ,0,9,49,9,47
1043,too politically correct  ,0,3,26,3,25
1044,very disappointing  ,0,2,21,2,20
1045,the only thing really worth watching was the scenery and the house because it is beautiful  ,1,16,94,16,92
1046,i love lane but ive never seen her in a movie this lousy  ,0,13,61,13,58
1047,an hour and a half i wish i could bring back  ,0,11,47,11,46
1048,but in terms of the writing its very fresh and bold  ,1,11,55,11,53
1049,the acting helps the writing along very well maybe the idiotsavant sister could have been played better and it is a real joy to watch  ,1,25,140,25,135
1050,the directing and the cinematography arent quite as good  ,0,9,60,9,58
1051,the movie was so boring that i sometimes found myself occupied peaking in the paper instead of watching never happened during a columbo movie before  ,0,25,153,25,150
1052, and sometimes it was so embarrassing that i had to look away  ,0,13,66,12,63
1053,the directing seems too pretentious  ,0,5,38,5,37
1054,the scenes with the ohsomature neighbourgirl are a misplace  ,0,9,67,9,61
1055,and generally the lines and plot is weaker than the average episode  ,0,12,70,12,69
1056,then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horror really stupid  ,0,24,140,24,136
1057,some applause should be given to the prelude however  ,1,9,57,9,54
1058,i really liked that  ,1,4,22,4,21
1059,a great film by a great director  ,1,7,35,7,34
1060,the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night  ,1,26,116,26,115
1061,the music in the film is really nice too  ,1,9,43,9,42
1062,id advise anyone to go and see it  ,1,8,37,8,35
1063,brilliant  ,1,1,12,1,11
1064,1010  ,1,1,7,1,6
1065,i liked this movie way too much  ,1,7,34,7,33
1066,my only problem is i thought the actor playing the villain was a low rent michael ironside  ,0,17,93,17,92
1067,it rocked my world and is certainly a must see for anyone with no social or physical outlets  ,1,18,95,18,94
1068,however this didnt make up for the fact that overall this was a tremendously boring movie  ,0,16,95,16,91
1069,there was no chemistry between ben affleck and sandra bullock in this film and i couldnt understand why he would consider even leaving his wifetobe for this chick that he supposedly was knocked out by  ,0,35,207,35,202
1070,there were several moments in the movie that just didnt need to be there and were excruciatingly slow moving  ,0,19,112,19,110
1071,this was a poor remake of my best friends wedding  ,0,10,54,10,51
1072,all in all a great disappointment  ,0,6,37,6,35
1073,i cannot believe that the actors agreed to do this film  ,0,11,60,11,57
1074,i could not stand to even watch it for very long for fear of losing iq  ,0,16,74,16,72
1075,i guess that nobody at the network that aired this dribble watched it before putting it on  ,0,17,93,17,92
1076,imdb ratings only go as low 1 for awful its time to get some negative numbers in there for cases such as these  ,0,23,115,23,112
1077,i saw mirrormask last night and it was an unsatisfactory experience  ,0,11,72,11,69
1078,unfortunately inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict  ,0,20,134,20,132
1079,these are the central themes of the film and they are handled ineptly stereotypically and with no depth of imagination  ,0,20,122,20,120
1080,all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core  ,0,21,101,21,100
1081,it is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life  ,0,22,113,22,111
1082,you cant relate with them hell you barely can understand them  ,0,11,66,11,63
1083,this is definitely a cult classic well worth viewing and sharing with others  ,1,13,79,13,78
1084,this movie is a pure disaster the story is stupid and the editing is the worst i have seen it confuses you incredibly  ,0,23,122,23,119
1085,the fish is badly made and some of its underwater shots are repeated a thousand times in the film  ,0,19,100,19,99
1086,a truly truly bad film  ,0,5,26,5,24
1087,the acting is terrible and the writing is worse  ,0,9,51,9,49
1088,the only possible way this movie could be redeemed would be as mst3k fodder  ,0,14,78,14,77
1089,i paid too much  ,0,4,18,4,17
1090,also its a real treat to see anthony quinn playing crazy horse  ,1,12,67,12,64
1091,it was so boring  ,0,4,19,4,18
1092,no plot whatsoever  ,0,3,21,3,20
1093,again no plot at all  ,0,5,24,5,22
1094,horrible  ,0,1,11,1,10
1095,worst hour and a half of my lifeoh my gosh  ,0,10,46,10,44
1096,i had to walk out of the theatre for a few minutes just to get some relief  ,0,17,77,17,76
1097,i hate movies like that  ,0,5,26,5,25
1098,yeah the movie pretty much sucked  ,0,6,37,6,35
1099,there is no plot or storyline  ,0,6,33,6,31
1100,if you do go see this movie bring a pillow or a girlfriendboyfriend to keep you occupied through out  ,0,19,105,19,102
1101,awful  ,0,1,8,1,7
1102,i dont think ive ever gone to a movie and disliked it as much  ,0,14,66,14,63
1103,it was a good thing that the tickets only cost five dollars because i would be mad if id have paid 750 to see this crap  ,0,26,125,26,121
1104,nobody identifies with these characters because theyre all cardboard cutouts and stereotypes or predictably reversestereotypes  ,0,15,133,15,128
1105,this is a bad film with bad writing and good actorsan ugly cartoon crafted by paul haggis for people who cant handle anything but the bold strokes in storytellinga picture painted with crayons  ,0,33,206,33,194
1106,crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racism and prejudice are bad things  ,0,23,143,23,140
1107,still i do like this movie for its empowerment of women theres not enough movies out there like this one  ,1,20,111,20,106
1108,your brain will attempt to shutdown as part of a primal impulse of selfpreservation  ,0,14,88,14,85
1109,i was left shattered from the experience of watching this film and i took a good two hours to fully recover  ,0,21,112,21,109
1110,this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films  ,0,19,107,19,106
1111,i certainly do not mean this distinction in a good way  ,0,11,57,11,56
1112,i mean this in a terrible way  ,0,7,32,7,31
1113,this film has no redeeming features  ,0,6,38,6,37
1114,everything is appalling  ,0,3,26,3,25
1115,artless camerawork endlessly presents us with the ugliest setting imaginable ie  ,0,11,85,11,81
1116,the story is beyond stupid  ,0,5,29,5,28
1117,the script iswas there a script  ,0,7,35,7,34
1118,the kids are annoying  ,0,4,24,4,23
